country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,179267,7690,162202,9375,1124,4420,190,951337,23455,40560636
Albania,Europe,275574,3497,271826,251,2,95954,1218,1817530,632857,2871945
Algeria,Africa,265816,6875,178371,80570,6,5865,152,230861,5093,45325517
Andorra,Europe,42156,153,41021,982,14,543983,1974,249838,3223924,77495
Anguilla,North America,2984,9,2916,59,4,195646,590,51382,3368870,15252
Antigua And Barbuda,North America,7721,137,7511,73,1,77646,1378,18901,190076,99439
Argentina,South America,9101319,128729,8895999,76591,372,197992,2800,35716069,776974,45968174
Australia,Australia/Oceania,6593795,7794,6199822,386179,129,253112,299,70885598,2721042,26050899
Austria,Europe,4212492,18303,4135885,58304,58,462804,2011,185034905,20328801,9102106
Bahrain,Asia,576997,1479,569758,5760,4,318491,816,9775981,5396149,1811659
Bangladesh,Asia,1953012,29127,1899419,24466,1273,11643,174,14051455,83767,167745162
Belgium,Europe,4116397,31613,3941350,143434,117,352324,2706,33846023,2896893,11683561
Belize,North America,57896,676,56761,459,6,140843,1644,549217,1336070,411069
Benin,Africa,26952,163,25506,1283,5,2120,13,604310,47530,12714341
Bolivia,South America,906146,21943,863665,20538,220,75704,1833,2705422,226025,11969554
Botswana,Africa,306324,2690,303026,608,1,125541,1102,2026898,830683,2440037
Brazil,South America,30682094,664920,29718402,298772,8318,142460,3087,63776166,296119,215373503
Bulgaria,Europe,1161504,37045,1014302,110157,54,169536,5407,9924259,1448573,6851060
Cabo Verde,Africa,56105,401,55613,91,23,98910,707,400982,706908,567234
Cameroon,Africa,119780,1927,117791,62,13,4312,69,1751774,63068,27776053
Canada,North America,3821346,40228,3499564,281554,423,99622,1049,61436458,1601640,38358465
Cayman Islands,North America,23578,28,8553,14997,1,351077,417,222773,3317098,67159
Central African Republic,Africa,14649,113,6859,7677,2,2938,23,81294,16304,4986136
Chile,South America,3605522,57722,3468131,79669,159,185643,2972,37693651,1940790,19421812
China,Asia,221804,5209,210454,6141,383,154,4,160000000,111163,1439323776
Colombia,South America,6095316,139821,5928829,26666,342,117459,2694,34675581,668214,51892950
Costa Rica,North America,866164,8444,841683,16037,48,167189,1630,4401922,849668,5180753
Croatia,Europe,1131450,15930,1111405,4115,15,278811,3925,4838151,1192212,4058130
Cuba,North America,1104589,8529,1095534,526,23,97633,754,12920253,1141997,11313741
Curacao,North America,43017,275,42203,539,3,260168,1663,496693,3004016,165343
Cyprus,Asia,477711,1032,124370,352309,60,390374,843,9477138,7744481,1223728
Czech Republic,Europe,3915847,40245,3871654,3948,14,364401,3745,55323981,5148342,10745981
Denmark,Europe,2976667,6287,2960386,9994,12,510561,1078,127345763,21842472,5830190
Dominican Republic,North America,580412,4376,575583,453,1,52524,396,3305829,299156,11050510
Egypt,Africa,515645,24613,442182,48850,122,4868,232,3693367,34867,105928386
El Salvador,North America,162089,4129,150662,7298,8,24757,631,1950448,297908,6547158
Equatorial Guinea,Africa,15910,183,15701,26,5,10687,123,317211,213068,1488778
Estonia,Europe,573922,2556,514836,56530,3,432106,1924,3345340,2518710,1328196
Ethiopia,Africa,470937,7510,455757,7670,8,3916,62,4836364,40214,120265111
Faeroe Islands,Europe,34658,28,7693,26937,5,704302,569,778000,15810116,49209
France,Europe,29160802,147257,28156674,856871,1329,444914,2247,271490188,4142201,65542502
French Guiana,South America,81784,397,11254,70133,1,261212,1268,631628,2017375,313094
Germany,Europe,25780226,137919,23956700,1685607,1279,305877,1636,122332384,1451450,84282880
Ghana,Africa,161280,1445,159788,47,1,4996,45,2442206,75655,32280617
Greece,Europe,3392575,29547,3306014,57014,176,328475,2861,81233888,7865209,10328255
Greenland,North America,11971,21,2761,9189,4,210191,369,164926,2895826,56953
Grenada,North America,16344,221,14634,1489,4,144008,1947,157363,1386531,113494
Guadeloupe,North America,140130,854,2250,137026,19,350105,2134,938039,2343627,400251
Guatemala,North America,851877,17792,831794,2291,5,45966,960,4543522,245163,18532670
Guinea Bissau,Africa,8222,171,8010,41,6,4002,83,136655,66512,2054599
Guinea,Africa,36597,442,36113,42,8,2653,32,660107,47848,13795931
Honduras,North America,424390,10896,132358,281136,105,41615,1068,1365056,133856,10197959
Hungary,Europe,1909948,46343,1821435,42170,29,198649,4820,11394556,1185122,9614673
India,Asia,43121599,524214,42579693,17692,698,30686,373,843836914,600479,1405273033
Indonesia,Asia,6050776,156458,5889534,4784,2771,21694,561,97245391,348662,278910317
Iran,Asia,7228051,141224,7020835,65992,737,84052,1642,51771715,602031,85995095
Iraq,Asia,2326458,25216,2299985,1257,10,55520,602,18529376,442197,41902979
Ireland,Europe,1535451,7203,1499879,28369,28,304622,1429,12144747,2409429,5040509
Israel,Asia,4106793,10749,4081150,14894,150,440360,1153,41373364,4436346,9326000
Italy,Europe,17057873,165244,15894511,998118,347,282901,2741,217853667,3613054,60296265
Japan,Asia,8338211,30039,7951587,356585,139,66305,239,50444181,401129,125755488
Jordan,Asia,1694216,14048,1678941,1227,124,163034,1352,16670254,1604177,10391780
Kazakhstan,Asia,1305636,13661,1291669,306,24,68020,712,11575012,603023,19194987
Kuwait,Asia,632074,2555,629114,405,3,144040,582,8071763,1839430,4388186
Kyrgyzstan,Asia,200993,2991,196406,1596,131,29889,445,1907195,283613,6724638
Latvia,Europe,825699,5798,816253,3648,6,446957,3139,7217715,3907005,1847378
Lebanon,Asia,1097956,10407,1084853,2696,186,162215,1538,4795578,708511,6768532
Liberia,Africa,7451,294,5747,1410,2,1411,56,139824,26487,5278999
Libya,Africa,501904,6430,490973,4501,101,71240,913,2477219,351613,7045301
Liechtenstein,Europe,17347,84,17192,71,1,452546,2191,102174,2665501,38332
Lithuania,Europe,1060619,9127,1032609,18883,11,399994,3442,9954903,3754317,2651588
Madagascar,Africa,64236,1393,59370,3473,14,2214,48,430995,14854,29016291
Malawi,Africa,85887,2636,82703,548,67,4284,131,578807,28868,20050211
Malaysia,Asia,4475873,35612,4409159,31102,47,135067,1075,59274648,1788706,33138284
Maldives,Asia,179483,298,163687,15498,25,321497,534,2213831,3965506,558272
Malta,Europe,93508,713,90076,2719,4,210730,1607,1904970,4293055,443733
Martinique,North America,153253,926,104,152223,8,408977,2471,828928,2212109,374723
Mexico,North America,5745652,324465,5044893,376294,4798,43708,2468,15855490,120615,131455607
Moldova,Europe,516986,11489,504142,1355,49,128715,2860,3216305,800772,4016504
Monaco,Europe,12004,54,11866,84,4,301911,1358,54960,1382294,39760
Mongolia,Asia,469885,2179,313256,154450,192,139159,645,4030048,1193522,3376601
Montenegro,Europe,236277,2719,232955,603,6,376109,4328,2465201,3924142,628214
Morocco,Africa,1165795,16071,1149054,670,293,30902,426,11237010,297864,37725337
Mozambique,Africa,225493,2201,223190,102,13,6857,67,1319772,40132,32885526
Netherlands,Europe,8067116,22292,7989151,55673,55,468869,1296,21107399,1226784,17205480
New Caledonia,Australia/Oceania,61049,312,60339,398,9,210072,1074,98964,340539,290610
Niger,Africa,9013,310,8579,124,1,349,12,253043,9794,25837472
Nigeria,Africa,255859,3143,249943,2773,11,1186,15,5114703,23717,215651424
Oman,Asia,389408,4260,384592,556,2,72808,796,25000000,4674286,5348410
Pakistan,Asia,1529249,30376,1494141,4732,109,6681,133,28350449,123867,228878790
Palau,Australia/Oceania,4879,6,4166,707,1,267269,329,49264,2698658,18255
Panama,North America,806277,8203,773421,24653,16,181543,1847,6019923,1355456,4441253
Papua New Guinea,Australia/Oceania,43876,651,43200,25,7,4737,70,249149,26898,9262605
Paraguay,South America,649718,18872,624673,6173,2,89055,2587,2633737,360998,7295705
Philippines,Asia,3687922,60455,3624459,3008,289,32841,538,29827732,265614,112297269
Poland,Europe,6003436,116207,5335112,552117,981,158950,3077,36224215,959088,37769420
Qatar,Asia,366179,677,364474,1028,1,130415,241,3487616,1242115,2807805
Reunion,Africa,405980,762,395430,9788,10,447503,840,1603660,1767679,907212
Russia,Europe,18260293,377670,17647179,235444,2300,125027,2586,273400000,1871949,146050996
Saint Lucia,North America,24267,368,23277,622,1,131038,1987,143281,773697,185190
Saint Martin,North America,10602,63,1399,9140,7,265754,1579,112382,2817015,39894
Saint Pierre And Miquelon,North America,2739,1,2449,289,1,477095,174,23687,4125936,5741
Samoa,Australia/Oceania,11313,24,1605,9684,4,56320,119,85921,427746,200869
San Marino,Europe,16852,115,16454,283,4,494716,3376,152231,4468970,34064
Saudi Arabia,Asia,759226,9116,743921,6189,61,21194,254,42144668,1176452,35823522
Serbia,Europe,2012836,16049,1988209,8578,12,232112,1851,9596815,1106664,8671838
Singapore,Asia,1240233,1362,1162140,76731,8,208933,229,23767171,4003881,5936034
Sint Maarten,North America,10123,86,9985,52,10,231208,1964,62056,1417354,43783
Slovakia,Europe,1787093,20041,1761664,5388,30,327033,3667,7127129,1304244,5464567
Slovenia,Europe,1019468,6622,1003559,9287,9,490254,3184,2656926,1277694,2079470
Solomon Islands,Australia/Oceania,18174,146,16357,1671,2,25303,203,5117,7124,718243
South Africa,Africa,3887449,100753,3708347,78349,192,64042,1660,24841314,409239,60701292
South Sudan,Africa,17525,138,13514,3873,1,1532,12,389677,34068,11438136
Spain,Europe,12127122,105444,11548089,473589,339,259190,2254,471036328,10067352,46788503
State Of Palestine,Asia,582119,5353,576684,82,17,109376,1006,3078533,578432,5322203
Swaziland,Africa,71698,1402,69549,747,11,60631,1186,1021394,863732,1182536
Sweden,Europe,2504894,18864,2477725,8305,9,245180,1846,18553837,1816057,10216549
Switzerland,Europe,3631881,13882,3551493,66506,78,414008,1582,20927607,2385592,8772500
Thailand,Asia,4373846,29475,4273599,70772,1496,62371,420,17270775,246281,70126166
Trinidad And Tobago,North America,154643,3871,141354,9418,18,109837,2749,726218,515806,1407928
Turkey,Asia,15053168,98890,14951238,3040,975,174977,1149,160622710,1867071,86029250
Turks And Caicos Islands,North America,6046,36,5963,47,4,152323,907,505354,12731886,39692
Uganda,Africa,164069,3596,100205,60268,2,3388,74,2612795,53950,48429823
UK,Europe,22159805,176708,21677896,305201,253,323264,2578,519264096,7574950,68550166
Uruguay,South America,902540,7213,892434,2893,18,258152,2063,6114822,1749015,3496151
USA,North America,84209473,1026646,81244260,1938567,1941,251659,3068,1016882505,3038939,334617623
Uzbekistan,Asia,238802,1637,236974,191,23,6947,48,1377915,40088,34372515
Venezuela,South America,522921,5711,516170,1040,230,18487,202,3359014,118752,28285909
Viet Nam,Asia,10696630,43065,9355040,1298525,340,108080,435,85811485,867048,98969721
Yemen,Asia,11819,2149,9009,661,23,381,69,265253,8543,31049015
Zimbabwe,Africa,249206,5482,242417,1307,12,16324,359,2287793,149863,15265849
